file,cycle,capacity,soh
B0005.mat,1,1.8564874208181574,1.0115971203625367
B0005.mat,2,1.846327249719927,1.0060608588667108
B0005.mat,3,1.8353491942234077,1.0000789334289586
B0005.mat,4,1.8352625275821128,1.0000317089103423
B0005.mat,5,1.8352625275821128,1.0000317089103423
B0005.mat,6,1.8351461429226603,0.9999682910896577
B0005.mat,7,1.8351461429226603,0.9999682910896577
B0005.mat,8,1.8257567905665537,0.994852047532607
B0005.mat,9,1.8247738529891333,0.9943164463689985
B0005.mat,10,1.8246195526864504,0.9942323683730397
B0005.mat,11,1.824613268496936,0.9942289441279061
B0005.mat,12,1.8142019357673917,0.9885558250481647
B0005.mat,13,1.8137521577549054,0.9883107417057562
B0005.mat,14,1.8134404914735822,0.9881409152317574
B0005.mat,15,1.8025980036306504,0.9822328603984841
B0005.mat,16,1.802579500826209,0.9822227782490004
B0005.mat,17,1.802579500826209,0.9822227782490004
B0005.mat,18,1.8027776247196041,0.9823307356516663
B0005.mat,19,1.8030683142834096,0.9824891319447775
B0005.mat,20,1.8470259949329193,1.0064416040510862
B0005.mat,21,1.8470259949329193,1.0064416040510862
B0005.mat,22,1.8361774213478947,1.000530233106372
B0005.mat,23,1.8257807475776242,0.9948651016708357
B0005.mat,24,1.8255815042203762,0.9947565342740502
B0005.mat,25,1.8251136435078368,0.9945015976963884
B0005.mat,26,1.8147691941158939,0.9888649232437202
B0005.mat,27,1.8140311275083907,0.988462751892375
B0005.mat,28,1.813969388710352,0.9884291105169419
B0005.mat,29,1.804077040117352,0.9830387850894251
B0005.mat,30,1.804077040117352,0.9830387850894251
B0005.mat,31,1.8307038456739428,0.9975476901988547
B0005.mat,32,1.8307038456739428,0.9975476901988547
B0005.mat,33,1.8199041089501267,0.9916629303841766
B0005.mat,34,1.8093079637028517,0.985889107249753
B0005.mat,35,1.80460990458052,0.9833291421101296
B0005.mat,36,1.7993770651972192,0.980477776034547
B0005.mat,37,1.7884432335370462,0.974519948096728
B0005.mat,38,1.7829230484252723,0.9715120077787281
B0005.mat,39,1.773037755078937,0.966125526744192
B0005.mat,40,1.7730337158018288,0.9661233257483517
B0005.mat,41,1.7678721106662054,0.9633107751040043
B0005.mat,42,1.7676172924938447,0.9631719250765355
B0005.mat,43,1.762668359743147,0.9604752592853568
B0005.mat,44,1.762668359743147,0.9604752592853568
B0005.mat,45,1.7517304870664143,0.9545152294038731
B0005.mat,46,1.7418496047960008,0.9491311519577752
B0005.mat,47,1.7418496047960008,0.9491311519577752
B0005.mat,48,1.7831890223273275,0.97165693654603
B0005.mat,49,1.7831890223273275,0.97165693654603
B0005.mat,50,1.7673642076278957,0.9630340195250459
B0005.mat,51,1.7570177850353066,0.9573962698784017
B0005.mat,52,1.7468706179837907,0.9518670942674905
B0005.mat,53,1.7417172507457144,0.949059032440758
B0005.mat,54,1.7364225056478186,0.9461739340371692
B0005.mat,55,1.7263217239235826,0.9406700337192535
B0005.mat,56,1.7158065389330133,0.9349403257033212
B0005.mat,57,1.710533351135192,0.932066973839156
B0005.mat,58,1.706014499648521,0.9296046586626557
B0005.mat,59,1.7003110272642588,0.9264968453937438
